Restaurant	Price	Food	Service	Review
Le Gratin Dauphinois - Grenoble	No Opinion	Positive	Positive	Deux repas au Gratin Dauphinois cette semaine Globalement positif Très bon accueil Les vins sont bien choisis Je regrette qu'entre les ravioles de lundi et celles de mercredi il y ait eu autant de différence de préparation Quoique il en soit nous y retournerons
La Belle Idée - Grenoble	Positive	Positive	Positive	Accueil formidable, espace cosy, pas trop bruyant et repas digne d'un gastronomique pour. Prix très raisonnable. Seul petit couac, on nous a servi les entrées avant l'apéro.
Une Semaine sur Deux - Grenoble	Positive	Positive	Positive	Une des meilleures adresse de Grenoble, vous pouvez y aller les yeux fermés. Le service est top, les plats sont goûteux et l’ambiance est familiale. Petit bémol sur les desserts qui ne sont pas aussi bons que les plats. L’addition est très correcte par rapport à la qualité du service.
Bistrot André - Grenoble	No Opinion	Positive	Positive	Passant une nuit dans la très belle Maison Pic, ma femme et moi avons eu le grand plaisir de dîner au Bistro André. Le cadre est très agréable, et le personnel est aussi aimable que très professionnel. Chacun des plats a été un pur régal ! A recommander, sans la moindre hésitation.
Les Terrasses de Lyon - Lyon	No Opinion	Positive	Positive	Un sans-faute pour ce déjeuner entre amis.Pourtant volontiers carnivores, nous avons choisi cette adresse pour faire l'expérience de son Menu Maraicher : ce fut la meilleure idée de la semaine, tant nous avons été ravis par les magnifiques plats autour des légumes exclusivement. Généreux, d'une haute technicité et du coup, simplement délicieux.A recommander sans aucune hésitation à ceux qui pensent qu'on ne peut pas faire de bon repas sans viande.Enfin, du petit jardinet à la terrasse, le cadre est superbe, et l'accueil, de très bon ton, sait mettre à l'aise. Un sans-faute.
Bistrot André - Grenoble	No Opinion	Positive	No Opinion	La meilleure table sur le chemin du sud pour un déjeuner hors normes.2 heures de bonheur avec des saveurs enchanteresses.
Les Jardins de Sainte-Cécile - Grenoble	Negative	Mixed	Negative	11 couverts a tables ; 1 personnes a payer 2 fois son menu suite a une erreur de leur part est n'a pas etais remboursé. 1 personnes a etais servi au moins 10-15min aprer tout le monde.. Cuisine gastro ok, mais nourriture tiède.. Dommage
"""""""Chateau de la commanderie - Grenoble"""""""	No Opinion	Mixed	Mixed	"""""""Le cadre est vraiment sympa, le service est un peu guinder mais ça fait le charme. La cuisine est bonne sans être exceptionnelle. Je conseille pour un repas en amoureux c’est parfait."""""""
Le Marrakech - Annecy	No Opinion	Negative	Negative	Franchement c'est pas terrible couscous réalisé au rabais aucune saveur pas de générosité dans le plat, aucun parfum, l'accueil est au niveau du coucous bref une grande déception !
La Ferme à Dédé - Grenoble	No Opinion	Positive	Positive	Une bonne table avec des produits locaux de qualité ! Andouillette raclette gratin dauphinois ! La qualité et la quantité ! Un service aux petits oignons ! Par contre pas de Resa possible donc venir à l'ouverture !
L'Entrecôte	No Opinion	Positive	No Opinion	Excellent chaîne de viande rouge. La sauce est une marque déposée et on comprend pourquoi, une tuerie !! Petit plus ou gros plus en fonction de l’appétit les frittes sont à volontés. Bien réserver ou venir au complet sinon trouver une place va être difficile mais je recommande.
La Belle Idée - Grenoble	No Opinion	No Opinion	Negative	J'avais mangé plusieurs fois dans ce restaurant et n'avais jamais été déçue. J'avais réservé pour ce midi, nous avons eu le malheur d'arriver à 11h54. Le Monsieur qui nous as reçu s'est montré extrêmement froid, nous disant qu'ils n'étaient pas encore ouvert qu'ils sont une petite équipe,  qu'ils n'avaient pas fini la mise en place et nous a mis dehors , fermant la porte à double tour et nous demandant de revenir 10 minutes plus tard :(  Nous sommes donc tout simplement allé déjeuner ailleurs. Ne doutant de rien ils nous ont appelé une demi-heure plus tard, nous demandant où nous étions car nous n'étions toujours pas revenus... J'ai préféré ne pas répondre,  trop contrariée par ce manque de professionnalisme
La veyrie - Bernin	Negative	Positive	Positive	Cadre superbe. Ancien château aux airs de vieux manoir. Terrasse sympa avec une vue époustouflante sur le massif de belledonne. Service aux petits soins. En revanche le rapport qualité prix dans l’assiette ne correspond pas au standing affiché du lieu. C’est cher pour une offre culinaire banale. Quand on y emmène des clients on est limite gêné. Après 4/5 pour le cadre sinon on se serait arrêté à 3/5.
L'Entrecôte	No Opinion	Positive	No Opinion	Me déplaçant beaucoup à titre professionnel , j' en suis presque à fixer mes rdv en fonction des villes où sont implantés ces restaurants ' l' Entrecôte ' ! Je les connais tous et suis un client inconditionnel depuis de nombreuses années . J' envisage de kidnapper un de leurs chefs pour qu' il me dévoile le secret de leur délicieuse sauce .
Une Semaine sur Deux - Grenoble	Negative	Mixed	Mixed	J'y suis déjà allée le soir. Le poulpe est à tomber. Seconde visite un midi et là grosse déception. 20€ entrée plat et dessert... et on avait faim en sortant. L'entrée était bonne, le plat très peu copieux (1/4 de magret de canard avec 3 demi-pommes de terre grenaille). Quant au dessert, pas évident d'appeler ça une tarte au citron. Les portions sont ridicules. Le serveur et la serveuse n'annoncent pas les mêmes ingrédients dans le cocktail (est-ce du sirop d'érable ou du miel?). Bref j'ai mis 3 car je garde un bon souvenir du premier repas le soir.Les notes sont sur-notėes pour le midi.
Brasserie Chavant Grenoble	No Opinion	Positive	Positive	Cette brasserie intime et demi gastronomique nous ravit à chaque visite : service vif et jeune, cuisine naturelle et de bonne facture, tout y est dans ce décor moderne mais chaleureux centre ville de grenoble
Le Chalet Restaurant - Annecy	No Opinion	Positive	Positive	L’endroit parfait pour découvrir la cuisine traditionnelle. Avec des fromages affinés par un maître fromager. Vraiment un régal! En plus c’est très copieux et l’équipe est très accueillante et sympathique. De quoi passer un très bon moment. D’ailleurs nous y avons mangé les deux soirs de notre séjour et Nous reviendrons très certainement !
Le Gratin Dauphinois - Grenoble	Positive	Positive	Positive	Très bon accueil,  la cuisine est généreuse    et goutu simple mais bien cuisiné. Je reviendrai des que possible
Brasserie Georges - Lyon	No Opinion	Positive	Positive	Super ambiance jazz le service est  excelent et la nouriture edt délicieuse mention spéciale a florent serveur génial
L'Entrecôte	No Opinion	Mixed	Negative	Nous avons reçu une viande avec une cuisson bleue, alors que nous avions demandé saignant… bref, passons. Notre serveuse était vraiment très peu courtoise, elle semblait ne pas avoir envie d’être ici. Nous avons aussi dû attendre la fin de l’entrée avant de revoir, enfjn, une carafe d’eau après avoir demandé à deux reprises. Heureusement que la serveuse qui nous a encaissé a apporté un peu plus de chaleur humaine. Il m’a aussi sembler apercevoir une serveuse derrière le bar, verser le contenu des verres de vin restant, dans une bouteille à l’aide d’un entonnoir. Dommage car viande de bonne qualité.
Les 3 Brasseurs - Echirolles	No Opinion	Positive	Positive	Après plusieurs repas, toujours aussi bonne cuisine et les serveurs très sympa 👍😊 lieu convivial entre amis, en famille comme en couple !
Bistrot André - Grenoble	No Opinion	Positive	No Opinion	Très belle adresse - cadre apaisant - cuisine  rigoureuse et raffinée - Flan feuilleté excellent -Je recommande  vivement +++
Le Gurtlerhoft - Strasbourg	No Opinion	No Opinion	No Opinion	Le cadre + l'accueil + le service + la qualité des mets = ambiance parfaite pour passer un excellent moment.
Bistrot André - Grenoble	No Opinion	Negative	Negative	Nous faisons une halte chaque année chez André. Mon mari et ma fille se sont régalés, en revanche mon plat (thon avec tomate farcie aux olives) était vraiment décevant : très linéaire, le thon avait peu de goût, la tomate farcie sans subtilité….pour un prix à 38. Je n’y ai pas retrouvé le petit truc en plus qui fait l’effet waouh.  Beaucoup d’oublis pendant le service: obligés à trois reprises de rappeler ce que nous avions demandé.  Pour la première fois, une expérience vraiment mitigée. On s’interroge sur notre venue l’an prochain sur la route des vacances.
Les Jardins de Sainte-Cécile - Grenoble	No Opinion	Positive	Positive	Restaurant bien décoré, le cadre est idéal, en plein coeur de Grenoble dans une ancienne chapelle, la cuisine est excellente et le personnel très chaleureux ! Très bonne adresse
Brasserie Chavant Grenoble	No Opinion	Positive	Positive	Plats raffinés et délicieux ! Bonne adresse. Restaurant chic et sympathique. Service de qualité. Je conseille personnellement le plateau apéritif.
Le Marrakech - Annecy	No Opinion	Mixed	Mixed	Très beau restaurant, bon accueil. Une fois installés nous avons attendu un bon moment avant la prise de commande. Nous avons commandé 3 tajines et un couscous. Le tajine au poulet olives et citron était très décevant. Il n’avait pas le goût des olives et du citron. D’ailleurs où sont les citrons confits ? À la place nous avons eu un morceau d’écorce de citron normal. Pas de goût et des légumes verts qui n’ont rien à faire là. Ayant l’habitude de manger des plats typiques marocains j’ai plutôt eu l’impression de manger tunisien. Le couscous était bon.
Chalet la Pricaz - Montmin	No Opinion	Positive	Positive	Tout simplement exceptionnel !!!!  Une vue à couper le souffle, de la nourriture a tomber par terre et un service parfait ! Des serveurs géniaux je n’ai rien à dire une expérience incroyable à refaire tous les jours s’il le faut !  Merci pour ce moment
Le Bombay	No Opinion	Positive	Positive	Nous avions réservé pour 6 personnes mais nous sommes finalement venus à 10, un dimanche, et bien qu’il y avait du monde, le restaurant a fait son possible pour nous placer tous les dix. Nous avons tous été satisfait, chaque plats ont été apprécié, les portions sont largement suffisante, certains n’ont pas réussi à tout manger. Idem pour les boissons. Les serveurs étaient très sympathique et on sent le professionnalisme de chacun dans cet établissement. Il est certain que je recommanderai ce lieu et que j’y retournerai lors d’un prochain séjour sur Grenoble.
La Belle Idée - Grenoble	Positive	Positive	Positive	Après plusieurs tentatives infructueuses pour dîner à La Petite Idée, j’y suis parvenue (de justesse !) le mois dernier. Les plats proposés sont faits maison et frais car en fonction des produits du jour. La carte, plutôt variée, change donc régulièrement. Les tarifs sont corrects et l’équipe, très sympathique. Ne changez rien !
Chalet la Pricaz - Montmin	No Opinion	No Opinion	Negative	Juste un mot Le cadre est fantastique mais si les serveurs sont souriants il faudrait dire à la serveuse qu'elle a choisi un métier ou l'attention, le sourire (même derrière le masque), est primordial. J'ai été choquée de son attitude vis à  vis de clients touristes enthousiastes devant la vue lui demandant des explications.  Manque de respect
Shunbun - Grenoble	Negative	Positive	No Opinion	De très bons sushis ...Par contre je trouve les prix un peu élevés qd on prend à la carte...Et on regrette un manque d'explication écrite et de détails sur la carte , on ne sait pas à quoi correspondent les plats ou spécialités ...
"""""""Terre Adélice - Lyon"""""""	Positive	Positive	No Opinion	"""""""Nous avons seulement goûté les gaufres . Elles sont excellentes et très légères. 6 euros les deux gaufres servies à l'assiette. Très grand choix de glaces."""""""
Shunbun - Grenoble	No Opinion	Positive	Positive	On s'est tout simplement régalé !!!! On était deux , on a prit une formule sushi chacun qu'on a partagé .  Service rapide et efficace !!!! On avait téléphoné à 21h15 un mercredi soir et on a bien accepté de nous recevoir pour 21h30 . Un plus !!!!  Accompagné d'un super Morgon . MERCI .  Je recommande sans hésitation .
Brasserie Chavant Grenoble	Negative	Negative	Positive	- ce n est pas une brasserie contrairement à l intitulé  - on se pose sur un pseudo gastro  - entrecôte sans aucun intérêt et surtout sans aucun goût  -purée de ma camarade de table ultra sèche et St Jacques correctes sans plus  -à l étage odeurs incommodantes de cuisine  98€ à deux c est ultra cher pour Grenoble et sur une proposition culinaire ultra quelconque  Ce qui sauve l ensemble , c est juste un service ultra efficace ,attentionné ,souriant et sympa .
La Belle Idée - Grenoble	Positive	Positive	No Opinion	Des mets raffinés et savoureux sont servis dans un cadre cocooning.  Les produits sont vraiment de qualité et cuisinés de façon traditionnelle avec des tarifs abordables.  La taille de l établissement permet de passer un bon moment en toute intimité. A recommander et anticiper pour la réservation .
Les Terrasses de Lyon - Lyon	No Opinion	Positive	Negative	"""""""Nous avons dîner hier au restaurant pour la 2 eme fois, cette fois c'était un cadeau pour notre mariage.Cadre superbe, bien installé à nos tables la serveuse nous amène le chariot de champagne je reponds alors """""""" merci pas d'alcool pour moi """""""" et elle me répond """""""" à oui j'ai vu que vous étiez enceinte """""""" Alors non Madame, je ne bois juste pas d'alcool. Cette remarque familière m'a un peu coupé l'appétit et Est pour moi tres déplacée dans un tel établissement... d'autant plus lorsque l'on est pas certains de la grossesse de la personne en face de sois! La meme serveuse sert la coupe de champagne à mon mari et une grosse goûte tombe dans son verre d'eau, oas tres grave Ca arrive mais j'étais deja oas tres a l'aise suite à sa remarque.Dieu merci le repas qui a suivi à ete tres fin, tout etait tres bon et tres bien servi. J'espère que la note un peu sévère permettra un petot briefé à l'équipe sur les remarque dont l'intention etait surement bienveillante mais qui peut être particulièrement blessante !"""""""
Brasserie Georges - Lyon	Positive	Positive	Positive	Cadre exceptionnel  Nourriture classique lyonnaise délicieuse  Service très sympathique ,professionnel, à l’ecoute Rapport qualité prix excellent
Le Chalet Restaurant - Annecy	No Opinion	Positive	Negative	Les bon commentaire c’est comme les pourboire et les digestifs ça ne se réclame pas dixit la serveuse. Plutôt bien mangé mais le service laisse à désirer.
Chalet la Pricaz - Montmin	No Opinion	No Opinion	Negative	Nous sommes passés à 18h50 pour y boire un verre. Un panneau indiquait « fin de service brasserie » mais des gens se faisaient encore servir sur leur terrasse, nous avons donc tenté notre chance. Mal nous en a pris, nous avons eu un accueil odieux par le personnel installé à table à l’entrée, en train de monter la garde. La serveuse (que l’on semblait déranger en plein repas) nous a dit sur un ton excédé « nous ne servons plus, le panneau ne sert pas à rien ». Très bien, merci pour l’accueil.
Le Marrakech - Annecy	No Opinion	Positive	No Opinion	On y mange super bien avec de belle portion , mais s'il vous plaît une loi es passer pour que l'on puisse rapporté les reste ... Pourquoi ne pas respecter la loi ??? Vous réutiliser les légumes et la semoule ??
La veyrie - Bernin	No Opinion	Positive	Positive	Tant au niveau du cadre, du service et de la cuisine, nous avons été très satisfait ! Équipe jeune et sympathique, rapport qualité prix correct. Cadre très agréable entre amis ou en famille avec des enfants.
Les Jardins de Sainte-Cécile - Grenoble	Negative	Positive	Positive	Nous sommes venus suite à une offre groupon. Bonne expérience visuel et gustative. A noter un petit cafouillage au moment de servir nos plats (erreur sur un de nos plats) mais ça a été vite corrigé.  Les plus : plats de qualité,  personnel accueillant et souriant  Les moins : le prix
Bistrot André - Grenoble	No Opinion	Positive	Negative	beau cadre. plats bien travaillés mais service très très long. Nous avons attendu, 20 minutes la prise de commande de l'apéritif , 30 minutes entre la fin du plat principal et la commande du dessert.
L'Entrecôte	No Opinion	Negative	Negative	On a voulu tester mais au final on n'y remettra plus les pieds. On nous a installé au RDC près de la cuisine, le serveur est arrivé et nous a demandé directement si on connaissait la. formule...on a dit oui mais je lui ai dit on va quand même prendre un apéro. Le serveur prenait ses notes tout en regardant par la fenêtre qui donne sur la rue du mulet. Déjà pas top. La formule plat unique. Entrée salade verte accompagnée de noix. On a du demandé la vinaigrette supplémentaire mais quand on a vu la vinaigrette on a surpris par l'aspect... Faux filet saignant tous les deux ... Les assiettes arrivent et pour nous c'était trop saignant. Horrible le brouhaha qu'il y avait on ne pouvait pas communiquer entre nous. Ensuite dessert. Le dessert était plus copieux que la formule..! On est arrivé à 19h20 sortis de table 20:30... service rapide on ne nous laisse pas vraiment le temps d'apprécier. A la sortie une file d'attente énorme et les personnes allaient attendre au moins 2h. Bref on n'est pas convaincus.
Le Gratin Dauphinois - Grenoble	No Opinion	Positive	Positive	Le burger que j'ai mangé était délicieux. L'ambiance du restaurant est très bien. Le deux personnes qui nous accueille sont agréables et sympathique.
La veyrie - Bernin	Negative	Positive	Positive	Le cadre est très agréable et sympa. La nourriture est bonne et les cuisson adapté Le tarif reste un peu cher
Les 3 Brasseurs - Echirolles	No Opinion	Mixed	Positive	Il faut le reconnaître que l’accueil est sympas , vous avez le choix entre la viandes les poissons, hamburger et surtout la choucroute et la fameuse flammekueche sans oublier la bière qui est brassée sur place.   Endroit correct
Le Gurtlerhoft - Strasbourg	No Opinion	Positive	No Opinion	Le restaurant dans une cave voûtée est magnifique ; on y mange vraiment de très bons plats. Que dire de plus ?
La Belle Idée - Grenoble	No Opinion	Positive	Positive	Par quoi commencer? La France présente la nourriture comme une religion. À La Petite Idée à Grenoble c’est bien cet esprit qui est représenté. Les plats ont un vrai goût, ils sont fait maison, simples et efficace laissant toujours un bon souvenir. Le cadre est chaleureux. Le service impeccable, agréable et bienveillant. Pour couronner le tout, le vin accompagne les plats, ni trop ni trop peu. Enfin le patron, Guillaume, sait mettre à l’aise ses convives. Merci nous y venons et nous y reviendrons et nous le conseillons.  José-Luis
La veyrie - Bernin	Positive	Positive	Positive	Un restaurant de qualité où l'on est fort bien accueilli dans un cadre sympathique. Une bonne carte, des prix abordables, un service chaleureux. L'idéal pour un tête-à-tête, en terrasse l'été...
Les Grands Buffets - Narbonne	Negative	Positive	Negative	Deuxième fois dans ce restaurant magnifique, mais deux fois en 7 ans n'est pas assez!  Salle privée avec un groupe de 10 amis en total.  Petit bémol - suggestion de prendre apéro au bar 'So British' à coté du bowling pour sauter le queue n'étais pas le bon conseils dans les courriels de GB avant notre arrivée.  Beaucoup de gens dans le bar, on a attendu au moins 10 minutes avant de parler de quelqu'un, et puis on a dû attendre devant l'entrée principale pour un autre 10 à 15 minutes...pas un bon commencement!  Néanmoins, depuis le moment Chloé nous a mené à la salle Max Le Verrier et nous avons rencontré Bruno, notre serveur dédié, Les Grands Buffets ont regagné tous leurs charmes!  Nourriture vraiment au top - je cite en particulier les foie gras, le canard au sang et le lièvre à la Royale. Excellent moment!
Le Gratin Dauphinois - Grenoble	Negative	Negative	No Opinion	Nous adorions ce restaurant il y’a quelques années et avions hâte d’y retourner manger.  Surprise en arrivant,  la carte n’est pas celle annoncée sur internet. Le prix des bières est élevé ( + que sur le bord de mer ! )  Concernant le plat, les gratins de ravioles sont très bons mais vraiment trop petits, ainsi que les « planches » de charcuteries et fromages sont minuscules ( 1 tranche de rosette, 1/2 de jambon blanc et une bouchée de caillette, 3 minis triangles de fromages) ce qui étonne en comparaison des quantités d’avant. Sans exagération nous avions encore faim à la fin du repas.   Les desserts étaient bons sauf les cheesecake qui n’avaient pas vraiment t de goût et surtout une consistance très ferme.
"""""""Chateau de la commanderie - Grenoble"""""""	Negative	Positive	Negative	"""""""Nous avons passé 2 jours dans cet hotel, ayant opté pour une formule """"""""Spa - Templiers"""""""" vendue en ligne. Le spa est agréable et de bonne facture mais le poids de l'âge commence a s'y ressentir. Un petit raffraichissement serait le bienvenu, tout particulièrement au jacuzzi dont les commandes ne fonctionnent plus."""""""
La veyrie - Bernin	No Opinion	Positive	Positive	repas spécial pour un anniversaire de mariage ( noces de diamant = 60 ans ) La salle nous était réservée après un apéritif en terrasse. Le décor était soigné, la cuisine aussi et le personnel aux petits soins.
Shunbun - Grenoble	No Opinion	Negative	Negative	La serveuse au piercing pas aimable du tout .  Rien d exceptionnel même gamme Que d autres restaurants japonais grenoblois je préfère de loin little sushi rue Condorcet
Le Bombay	Mixed	No Opinion	No Opinion	Resto super connu des Grenoblois, l'endroit où aller si vous souhaiter tester la nourriture indienne à prix modéré.  Attention par contre à réserver à l'avance, c'est toujours complet.
Le Marrakech - Annecy	Negative	Negative	No Opinion	Très déçu !!!  La plus part des plats sont surgeler !! Et très chère !! Le patron de l établissement est un voleur !!! Vérifier bien votre note au moment de l addition  À ne surtout pas tester, a bonne entendeur
Le Chalet Restaurant - Annecy	Negative	Positive	Negative	Les produits sont de qualité par contre tout a été gâché par le côté expéditif …arrivés à 19h15…tout était fini à 20h15…le serveur installe les assiettes alors que notre apéritif (très cher 13 euros le spritz ) était à peine servi…ne souhaitant pas de dessert …notre table a été débarrassé à la va-vite…attention messieurs et dames du restaurant le Chalet…vos clients ne sont pas que des pompes à fric…déception
"""""""Chateau de la commanderie - Grenoble"""""""	Positive	Positive	Positive	"""""""Il y a des avantages et des inconvénients de cet hôtel, dont je vais liste ci-dessous. Mais généralement speeking le château lui-même est très beau, les chambres sont confortables avec une grande variété de meubles de différentes époques dépareillés qui rend tout simplement que peu plus chaleureux. Je suis allée seule cette fois, mais pourrait envisager de prendre ma famille ici en été avec la piscine extérieure. Le restaurant est fantastique, la nourriture est excellente !"""""""
Le Marrakech - Annecy	No Opinion	No Opinion	No Opinion	Juste à côté vous avez la possibilité de prendre votre couscous à emporter pour passer un agréable moment en famille ou entre amis sans avoir eu à cuisiner.
Les Terrasses Poulard - Le Mont-Saint-Michel	Negative	Negative	Negative	Je suis mal à l'aise pour le personnel de ce restaurant (principalement les serveurs) qui sont obligé de servir des plats aussi peu savoureux et chers...  L'entrée (salade normande) était plutôt bonne, mais que dire du reste... Viande bovine caouchouteuse, agneau super gras, sauté de volaille à la normande sans goût et viande sèche. Nous n'avons pas fini nos assiettes, ce qui n'est pas du tout notre genre, on est plutôt tolérants ... Mais là, servir des plats pareils à un prix aussi exorbitant...!!!  Je ne m'attendais pas à manger un repas super savoureux, mais au moins mangeable... J'espère que ce restaurant va s'amélioré gustativement parlant. Par ailleurs jolie vue sur la baie malgré la saleté des vitres
